Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Amit,Season,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,Sharks
42,285,ProostBeer,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
42,286,DrCubes,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
42,287,MetroRide,Transportation,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
42,288,Conker,Education,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
43,289,WTF,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
43,290,funngro,Food and Beverages,5000000,,4.16%,N,N,Y,N,N,N,N,Y,2,,,Namita Thapar,,,,,Amit Jain,
43,291,Aadvik,Food and Beverages,1500000,,1.50%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
43,292,oyehappy,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
44,293,HealthyMaster,Health and Fitness,5000000,,6.50%,N,N,N,N,N,Y,N,N,2,,,,,,Vineeta Singh,,,
44,294,Kitsons,Education,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
44,295,LondonBubble,Food and Beverages,7500000,,15%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
44,296,WaggyZone,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
45,297,NutriCook,Accessories,5000000,,10%,N,N,N,N,N,Y,N,N,2,,,,,,Vineeta Singh,,,
45,298,Subhag,Technology,2000000,,1%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
45,299,SinghStyled,Retail and Fashion,5000000,,10%,N,N,N,N,Y,N,N,N,2,,,,,Peyush Bansal,,,,
46,300,ZSportsTech,Sports,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
46,301,ThePlatedProject,Accessories,7500000,,3.75%,N,N,Y,Y,N,Y,N,N,2,,,Namita Thapar,Aman Gupta,,Vineeta Singh,,,
46,302,VsnapU,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
46,303,TheHealthyFactory,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
47,304,Brevistay,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
47,305,SoulUp,Health and Fitness,5000000,,5%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
